city,base_tag,count
adana,iklim,2
adiyaman,iklim,1
agri,taskin,1
aksaray,sicaklik,1
ankara,yangin,14
antalya,iklim,2
artvin,biyocesitlilik,1
aydin,orman,1
balikesir,taskin,2
bitlis,kuraklik,1
bolu,su,2
burdur,taskin,1
bursa,iklim,4
canakkale,sicakdalgasi,6
cankiri,taskin,1
corum,kuraklik,1
denizli,orman,2
diyarbakir,sicakdalgasi,1
edirne,iklim,1
elazig,susorunu,2
erzurum,orman,1
eskisehir,biyocesitlilik,1
gaziantep,kuraklik,1
hatay,kuraklik,1
igdir,susorunu,1
istanbul,yenilenebilir,9
izmir,kuraklik,4
karabuk,yangin,7
karaman,biyocesitlilik,1
kars,sel,1
kastamonu,yangin,7
kayseri,havakirliligi,2
kocaeli,sicaklik,2
konya,kuraklik,3
malatya,sicaklik,2
manisa,iklim,2
mardin,biyocesitlilik,1
mersin,orman,1
mugla,havakirliligi,1
nigde,gunesenerjisi,1
rize,iklim,1
sakarya,iklim,3
samsun,iklim,2
sanliurfa,su,4
sinop,taskin,1
sirnak,orman,1
tekirdag,susorunu,1
tokat,kuraklik,1
trabzon,sel,1
usak,su,1
van,biyocesitlilik,3
yozgat,iklim,1
zonguldak,orman,1
